user,favorite_song_1,favorite_song_2,favorite_song_3,favorite_song_4,favorite_song_5,favorite_song_6,favorite_song_7,favorite_song_8,favorite_song_9,favorite_song_10
1,126,88,409,18,470,159,517,84,258,523
2,141,411,453,175,213,240,393,372,404,282
3,304,242,31,355,512,159,132,498,199,343
4,522,38,37,467,74,171,290,525,368,215
5,91,478,279,312,453,402,480,120,83,436
6,327,378,43,392,209,394,153,364,267,391
7,485,407,48,446,153,443,520,30,279,232
8,240,493,455,519,127,365,520,259,304,189
9,213,329,316,506,392,8,351,63,71,216
10,37,64,68,245,193,484,285,476,272,84
11,245,410,73,353,173,497,428,78,106,436
12,285,110,361,67,336,168,517,98,58,156
13,330,3,175,135,308,100,110,312,357,430
14,274,333,121,36,486,233,146,137,335,124
15,329,8,438,366,448,297,80,93,194,322
16,446,145,257,283,252,117,154,79,383,177
17,128,496,97,463,445,321,217,501,467,214
18,39,318,492,113,275,459,392,407,468,175
19,243,210,332,114,397,365,115,527,371,136
20,42,265,376,438,505,357,62,324,289,446
21,457,501,100,25,256,75,337,57,462,52
22,123,55,59,293,323,13,493,529,440,459
23,132,339,241,243,398,355,287,523,518,50
24,78,63,189,221,106,25,510,293,119,151
25,32,311,376,273,290,276,444,78,110,136
26,228,411,307,142,345,52,111,7,427,510
27,523,206,323,142,232,254,473,122,271,391
28,404,41,16,413,375,421,517,316,129,432
29,280,230,68,274,238,383,84,93,286,181
30,194,371,452,147,206,68,153,441,384,87
31,227,240,285,508,338,522,482,208,409,321
32,143,34,295,86,76,61,215,28,447,31
33,120,361,492,471,254,90,324,523,507,363
34,401,54,486,400,33,304,234,128,381,446
35,377,182,238,54,143,40,508,323,443,167
36,386,261,344,452,354,162,498,205,69,400
37,100,165,307,191,422,284,266,243,160,365
38,497,288,112,408,229,507,324,329,400,489
39,78,324,205,211,166,519,86,397,113,168
40,298,145,435,413,207,70,363,142,453,475
41,100,360,280,173,135,321,114,230,171,309
42,495,168,443,290,82,205,516,366,16,529
43,105,31,519,405,460,443,400,354,126,494
44,377,440,528,59,53,67,483,497,352,4
45,446,298,105,516,6,115,250,235,140,502
46,178,203,207,47,496,510,442,490,509,33
47,490,377,10,114,486,375,288,289,436,347
48,521,412,266,26,267,229,37,188,98,160
49,15,444,248,1,162,224,72,416,472,356
50,434,90,282,472,485,188,526,289,218,193
51,325,69,522,259,345,104,218,399,112,389
52,193,96,323,337,185,393,38,67,89,365
53,312,82,227,191,120,195,407,327,20,133
54,424,13,140,518,268,99,392,225,78,7
55,283,207,248,446,135,23,164,202,78,215
56,96,15,384,475,291,418,212,188,446,229
57,316,25,321,147,472,412,28,311,292,78
58,508,202,389,213,6,279,283,260,50,82
59,130,323,110,354,422,375,315,245,520,408
60,194,364,196,7,53,264,107,508,413,24
61,415,345,263,24,504,430,497,47,341,35
62,437,164,130,98,440,185,355,334,468,390
63,213,366,391,394,94,149,419,291,444,205
64,238,360,20,305,337,519,197,166,214,497
65,279,171,405,60,420,454,116,211,380,54
66,363,443,1,341,408,522,348,63,242,346
67,178,511,98,360,37,185,504,453,38,199
68,181,393,417,254,5,270,117,124,263,442
69,210,530,395,292,297,485,367,141,465,157
70,130,287,107,529,434,319,415,506,16,156
71,126,164,427,494,189,200,188,399,201,78
72,15,20,195,409,379,209,141,418,196,35
73,525,223,222,297,91,47,184,139,132,90
74,494,127,167,492,109,280,226,89,165,12
75,189,448,204,20,313,521,186,142,498,74
76,175,235,221,146,123,314,318,464,1,489
77,246,179,339,80,297,290,245,93,484,125
78,82,507,33,81,220,342,404,200,103,392
79,519,294,404,335,199,417,169,10,266,468
80,244,68,432,510,285,477,450,501,208,288
81,315,225,48,148,346,232,514,291,14,156
82,428,203,23,148,477,107,433,370,239,138
83,454,326,105,159,391,156,432,21,426,81
84,479,278,404,154,430,426,30,34,432,294
85,21,433,71,40,348,477,127,432,361,224
86,283,317,59,336,14,239,484,161,36,189
87,302,288,125,263,75,17,311,147,156,309
88,189,16,301,521,372,398,453,100,414,391
89,309,232,331,471,338,9,313,326,71,438
90,73,256,3,339,452,113,251,17,76,4
91,287,162,467,309,310,108,154,135,59,14
92,382,522,9,132,440,463,205,321,59,47
93,110,290,117,366,375,167,193,335,246,497
94,118,318,376,246,127,264,12,521,258,81
95,499,3,327,82,220,326,492,192,63,331
96,398,159,513,140,161,36,183,293,34,178
97,254,251,51,442,468,421,215,168,513,161
98,183,373,415,160,193,233,356,428,513,502
99,69,239,399,244,159,374,155,223,36,231
100,322,4,115,220,83,466,265,365,244,176
